TestTime,DataYear,LocalTime,UUID,Direction,MeanThroughputMbps,MinRTT,LossRate,Subdivision1Name,City,Latitude,Longitude,AccuracyRadiusKm,ASName,ASNumber
2024-01-29 03:58:23.691781 UTC,2024,11:58:23,ndt-5ssdr_1705107907_000000000011C1D0,Download,3.0373606733174583,23.863,0.0027845457709711106,Taipei City,Taipei,25.0504,121.5324,20,Taiwan Star Telecom Corporation Limited.(Former Vibo Telecom Inc.),24157
2024-01-29 03:56:00.271255 UTC,2024,11:56:00,ndt-hlgmr_1705250860_00000000000FA1E8,Download,0.41342439384594465,54.699,0.0700089868438499,Taipei City,Taipei,25.0504,121.5324,50,"Far EastTone Telecommunication Co., Ltd.",9674
2024-01-29 03:52:12.875310 UTC,2024,11:52:12,ndt-hlgmr_1705250860_00000000001000BE,Download,14.458029760025632,32.9,0.0,Taipei City,Taipei,25.0504,121.5324,10,"Taiwan Mobile Co., Ltd.",24158
2024-01-29 03:44:05.091682 UTC,2024,11:44:05,ndt-8mwwk_1705045617_00000000001244D6,Download,19.319455390482958,19.024,0.00017887972372800827,Taipei City,Taipei,25.0504,121.5324,10,Mobile Business Group,17421
2024-01-29 03:40:09.267917 UTC,2024,11:40:09,ndt-8mwwk_1705045617_00000000001312AE,Download,54.143048257717005,82.103,0.0015053082916222629,Taipei City,Taipei,25.0504,121.5324,100,"Far EastTone Telecommunication Co., Ltd.",9674
2024-01-29 03:36:08.442747 UTC,2024,11:36:08,ndt-5ssdr_1705107907_000000000011842C,Download,12.555940285918775,55.479,0.17919116694755804,Taipei City,Taipei,25.0504,121.5324,50,"Far EastTone Telecommunication Co., Ltd.",9674
2024-01-29 03:25:43.207775 UTC,2024,11:25:43,ndt-hlgmr_1705250860_00000000000F91A1,Download,142.27507557617429,18.216,0.0,Taipei City,Taipei,25.0504,121.5324,10,Mobile Business Group,17421
2024-01-29 03:20:59.795598 UTC,2024,11:20:59,ndt-virtual-74kb6_1704946707_00000000000722FF,Download,14.619992985469692,147.1,0.0,Taipei City,Taipei,25.0504,121.5324,5,Mobile Business Group,17421
2024-01-29 03:20:12.517129 UTC,2024,11:20:12,ndt-virtual-74kb6_1704946707_00000000000722F8,Download,17.258606527407366,147.255,0.0018051952840918044,Taipei City,Taipei,25.0504,121.5324,5,Mobile Business Group,17421
2024-01-29 03:10:14.668414 UTC,2024,11:10:14,ndt-8mwwk_1705045617_000000000012350E,Download,10.868632757638832,29.004,0.0,Taipei City,Taipei,25.0504,121.5324,10,Mobile Business Group,17421
2024-01-29 03:10:00.153556 UTC,2024,11:10:00,ndt-virtual-74kb6_1704946707_00000000000722CE,Download,5.6727123280785827,31.919,0.0012588559591093964,Taipei City,Taipei,25.0504,121.5324,10,"Taiwan Mobile Co., Ltd.",24158
2024-01-29 03:09:56.071695 UTC,2024,11:09:56,ndt-virtual-c5kvd_1704940095_0000000000064DC3,Download,25.421571281607019,25.044,0.0042456137502942274,Taipei City,Taipei,25.0504,121.5324,10,"Taiwan Mobile Co., Ltd.",24158
2024-01-29 03:09:51.060790 UTC,2024,11:09:51,ndt-hlgmr_1705250860_00000000000FB170,Download,26.996454733660983,27.301,0.0,Taipei City,Taipei,25.0504,121.5324,10,"Taiwan Mobile Co., Ltd.",24158
2024-01-29 03:09:11.939439 UTC,2024,11:09:11,ndt-8mwwk_1705045617_000000000012B2E3,Download,12.375299474870872,48.934,0.054582252055104662,Taipei City,Taipei,25.0504,121.5324,100,"Far EastTone Telecommunication Co., Ltd.",9674
2024-01-29 03:06:50.065482 UTC,2024,11:06:50,ndt-hlgmr_1705250860_00000000000F09B1,Download,77.8063266862387,24.002,0.0,Taipei City,Taipei,25.0504,121.5324,10,Mobile Business Group,17421
2024-01-29 03:05:31.932776 UTC,2024,11:05:31,ndt-5ssdr_1705107907_0000000000117566,Download,51.94805004507559,33.029,0.0,Taipei City,Taipei,25.0504,121.5324,10,Mobile Business Group,17421
2024-01-29 03:02:20.459192 UTC,2024,11:02:20,ndt-8mwwk_1705045617_0000000000118E6C,Download,7.1499820413630086,79.447,0.081032322215018271,Taipei City,Taipei,25.0504,121.5324,20,"Far EastTone Telecommunication Co., Ltd.",9674
2024-01-29 02:55:39.572563 UTC,2024,10:55:39,ndt-virtual-c5kvd_1704940095_00000000000677EF,Download,40.745110589805776,21.989,0.015456460800865945,Taipei City,Taipei,25.0504,121.5324,100,"Far EastTone Telecommunication Co., Ltd.",9674
2024-01-29 02:55:32.335637 UTC,2024,10:55:32,ndt-virtual-c5kvd_1704940095_0000000000064D73,Download,17.054195126021163,292.921,0.22528848372872082,Taipei City,Taipei,25.0504,121.5324,100,Mobile Business Group,17421
2024-01-29 02:51:15.187977 UTC,2024,10:51:15,ndt-virtual-c5kvd_1704940095_0000000000064D5C,Download,14.115039525542688,19.803,0.0077090854710792538,Taipei City,Taipei,25.0504,121.5324,20,Mobile Business Group,17421
2024-01-29 02:50:59.856086 UTC,2024,10:50:59,ndt-virtual-c5kvd_1704940095_00000000000677D7,Download,56.408329436551412,26.672,0.0,Taipei City,Taipei,25.0504,121.5324,100,"Far EastTone Telecommunication Co., Ltd.",9674
2024-01-29 02:48:38.759005 UTC,2024,10:48:38,ndt-virtual-c5kvd_1704940095_0000000000066A12,Download,42.145952435570543,24.106,0.0016031747539843242,Taipei City,Taipei,25.0504,121.5324,100,"Far EastTone Telecommunication Co., Ltd.",9674
2024-01-29 02:46:33.187424 UTC,2024,10:46:33,ndt-virtual-74kb6_1704946707_00000000000706E0,Download,41.627978682320226,26.891,0.00803722571157014,Taipei City,Taipei,25.0504,121.5324,100,"Far EastTone Telecommunication Co., Ltd.",9674
2024-01-29 02:42:53.904665 UTC,2024,10:42:53,ndt-virtual-c5kvd_1704940095_0000000000064D3A,Download,25.010351446678921,21.672,0.065671438476225016,Taipei City,Taipei,25.0504,121.5324,10,Mobile Business Group,17421
2024-01-29 02:41:17.352573 UTC,2024,10:41:17,ndt-virtual-74kb6_1704946707_0000000000072267,Download,13.711672284907815,20.442,0.11656326251587569,Taipei City,Taipei,25.0504,121.5324,100,"Far EastTone Telecommunication Co., Ltd.",9674
2024-01-29 02:29:41.213711 UTC,2024,10:29:41,ndt-5ssdr_1705107907_00000000001155AB,Download,101.64333270038036,23.965,0.0,Taipei City,Taipei,25.0504,121.5324,10,Mobile Business Group,17421
2024-01-29 02:22:01.603053 UTC,2024,10:22:01,ndt-virtual-74kb6_1704946707_0000000000070684,Download,34.632184874680647,22.683,6.3422999094128111e-05,Taipei City,Taipei,25.0504,121.5324,100,"Far EastTone Telecommunication Co., Ltd.",9674
2024-01-29 02:20:46.623032 UTC,2024,10:20:46,ndt-virtual-74kb6_1704946707_000000000007161B,Download,9.5501423449588554,28.584,0.00011599176239634604,Taipei City,Taipei,25.0504,121.5324,50,"Far EastTone Telecommunication Co., Ltd.",9674
2024-01-29 02:20:07.000371 UTC,2024,10:20:07,ndt-virtual-74kb6_1704946707_0000000000071616,Download,145.24776313232178,20.038,0.0,Taipei City,Taipei,25.0504,121.5324,10,Mobile Business Group,17421
2024-01-29 01:43:05.242840 UTC,2024,09:43:05,ndt-virtual-74kb6_1704946707_0000000000073197,Download,1.5438458218177173,253.825,0.0514924851621952,Taipei City,Taipei,25.0504,121.5324,200,Mobile Business Group,17421
2024-01-29 01:41:37.461524 UTC,2024,09:41:37,ndt-virtual-74kb6_1704946707_0000000000073191,Download,26.974284042898926,25.049,8.09969037787348e-05,Taipei City,Taipei,25.0504,121.5324,50,"Far EastTone Telecommunication Co., Ltd.",9674
2024-01-29 01:41:31.143287 UTC,2024,09:41:31,ndt-hlgmr_1705250860_00000000000F6285,Download,23.20649833024126,49.853,0.067878694386905081,Taipei City,Taipei,25.0504,121.5324,100,"Far EastTone Telecommunication Co., Ltd.",9674
2024-01-29 01:41:19.656403 UTC,2024,09:41:19,ndt-8mwwk_1705045617_000000000011DB55,Download,64.633074725253863,83.521,0.00019570591958701915,Taipei City,Taipei,25.0504,121.5324,100,"Far EastTone Telecommunication Co., Ltd.",9674
2024-01-29 01:41:07.957772 UTC,2024,09:41:07,ndt-8mwwk_1705045617_0000000000133049,Download,38.274574511456727,49.416,0.1650862254192203,Taipei City,Taipei,25.0504,121.5324,100,"Far EastTone Telecommunication Co., Ltd.",9674
2024-01-29 01:36:37.323565 UTC,2024,09:36:37,ndt-virtual-c5kvd_1704940095_0000000000066902,Download,343.5470086198327,21.891,0.0,Taipei City,Taipei,25.0504,121.5324,10,Mobile Business Group,17421
2024-01-29 01:21:17.578742 UTC,2024,09:21:17,ndt-virtual-c5kvd_1704940095_00000000000668B4,Download,5.4224843977842534,21.976,0.013575492283337782,Taipei City,Taipei,25.0504,121.5324,20,"Taiwan Mobile Co., Ltd.",24158
2024-01-29 00:49:54.605457 UTC,2024,08:49:54,ndt-hlgmr_1705250860_00000000000F8167,Download,11.664656212547833,78.248,0.2218062529252286,Taipei City,Taipei,25.0504,121.5324,100,"Far EastTone Telecommunication Co., Ltd.",9674
2024-01-29 00:48:49.803813 UTC,2024,08:48:49,ndt-8mwwk_1705045617_0000000000118D93,Download,2.0450845927038648,19.418,0.00051493305870236867,Taipei City,Taipei,25.0504,121.5324,10,Taiwan Star Telecom Corporation Limited.(Former Vibo Telecom Inc.),24157
